filename,folder,format,composer,title,period,tags,source,created_by,date_added,notes
string-quartet-no-4-sz-91-v-allegro-molto-bela-bartok.musicxml,quartets/Modernist/Bartok_Bela,musicxml,Bartok_Bela,"string-quartet-no-4-sz-91-v-allegro-molto-bela-bartok.musicxml",Modernist,string quartet,auto-import,YourName,2025-10-05,
string-quartet-no-8-in-c-minor-op-110-dmitri-shostakovich.musicxml,quartets/Modernist/Shostakovich_Dmitri,musicxml,Shostakovich_Dmitri,"string-quartet-no-8-in-c-minor-op-110-dmitri-shostakovich.musicxml",Modernist,string quartet,auto-import,YourName,2025-10-05,
